Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2022,4,Buenos Aires,28934,23347,259866,281550,244555,98670,3760109,4794665
2022,4,Capital Federal,516,5096,31320,64653,36336,8116,1299117,1551926
2022,4,Catamarca,71,315,2716,5028,4638,3122,52739,70909
2022,4,Chaco,461,771,16067,17846,6704,3039,94866,143663
2022,4,Chubut,109,1614,46457,31007,34728,15770,19048,168759
2022,4,Córdoba,99,9929,143686,108195,63120,20691,686330,1049660
2022,4,Corrientes,67,3282,22647,24858,7025,3770,85806,155453
2022,4,Entre Ríos,107,4722,45629,46700,20927,22483,130406,270974
2022,4,Formosa,84,245,22458,12391,6724,310,18930,61840
2022,4,Jujuy,58,1763,18652,14070,36430,335,46910,118218
2022,4,La Pampa,68,1687,52618,10334,9167,4479,19783,114164
2022,4,La Rioja,18,595,2531,3010,24435,5029,50644,86262
2022,4,Mendoza,103,2954,35541,20355,35935,14909,161163,292104
2022,4,Misiones,51,3510,35622,21373,12196,3182,101745,186269
2022,4,Neuquén,168,994,38814,13960,13008,5739,85247,160180
2022,4,Río Negro,111,1081,32053,13931,20442,7335,57495,162092
2022,4,Salta,114,1197,31530,71105,5036,117,90014,205860
2022,4,San Juan,24,2027,30069,11247,20440,8188,19991,103826
2022,4,San Luis,60,624,11785,24684,13981,78506,2227,135220
2022,4,Santa Cruz,51,6810,11616,11509,10374,3236,5559,50203
2022,4,Santa Fe,468,9374,115767,194420,73345,22899,453078,887691
2022,4,Santiago Del Estero,178,1267,26183,58136,17735,661,14345,119494
2022,4,Tierra Del Fuego,22,902,11649,13634,21365,3612,1812,55260
2022,4,Tucumán,39,1562,29996,35425,26369,1375,153538,263422
2022,3,Buenos Aires,29985,27709,290315,297915,267044,124190,3618689,4721668
2022,3,Capital Federal,517,5742,34371,67829,51946,28692,1253105,1547679
2022,3,Catamarca,71,384,3107,5389,5099,3737,50298,70293
2022,3,Chaco,461,987,16782,18938,8049,15828,79390,144146
2022,3,Chubut,109,1444,45707,30940,34682,15309,17563,165778
2022,3,Córdoba,99,11312,153324,111615,70989,27112,650344,1038668
2022,3,Corrientes,67,3865,23427,23948,7776,21706,56950,144846
2022,3,Entre Ríos,107,5549,47210,46855,18263,32021,102195,268959
2022,3,Formosa,97,307,23538,19545,6194,564,17704,68538
2022,3,Jujuy,58,1879,19135,15254,36083,519,45895,118823
2022,3,La Pampa,68,1887,61540,9653,11592,5609,22731,116092
2022,3,La Rioja,18,689,2842,3375,24219,5331,50390,86864
2022,3,Mendoza,103,2953,44232,21977,48201,17243,150043,289523
2022,3,Misiones,51,3749,36628,20758,12676,19615,80330,182157
2022,3,Neuquén,134,991,38485,14080,9200,6700,78713,163161
2022,3,Río Negro,111,1221,32936,17860,27934,13629,42596,160558
2022,3,Salta,114,1490,32923,71199,5662,1001,85661,204541
2022,3,San Juan,24,2027,30324,11247,22157,6780,19221,103399
2022,3,San Luis,60,307,6563,20813,12061,67438,13,122070
2022,3,Santa Cruz,52,6841,12342,11313,11378,2333,4604,49510
2022,3,Santa Fe,468,11132,132709,198588,70897,57455,396352,887810
2022,3,Santiago Del Estero,178,1384,28357,58982,16087,910,12342,119032
2022,3,Tierra Del Fuego,22,831,12002,14815,20102,1752,1021,53896
2022,3,Tucumán,39,2047,32571,39018,25214,4348,159600,263117
2022,2,Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,4667183
2022,2,Capital Federal,517,5980,36036,72434,55372,31571,1229254,1536771
2022,2,Catamarca,71,413,3678,6155,7165,3393,43926,67008
2022,2,Chaco,461,1047,17603,20109,8391,15974,76271,143564
2022,2,Chubut,109,1444,45804,31217,34290,14526,15394,162805
2022,2,Córdoba,99,11971,160486,120485,71923,28645,619400,1026435
2022,2,Corrientes,67,3937,24253,24842,8001,21719,55071,144997
2022,2,Entre Ríos,107,5656,48637,48557,18512,32355,98769,269352
2022,2,Formosa,97,407,23834,19706,6330,591,16326,67881
2022,2,Jujuy,58,1829,19458,15790,37786,549,37391,115314
2022,2,La Pampa,68,1887,62546,9842,11800,5247,17125,111527
2022,2,La Rioja,18,728,3179,3890,23814,5481,48920,86030
2022,2,Mendoza,103,2954,44961,22557,64138,19543,121366,279562
2022,2,Misiones,51,3808,37254,21712,12774,19757,75107,178813
2022,2,Neuquén,134,999,38826,15066,9205,2039,76982,161968
2022,2,Río Negro,111,1227,33364,17938,27168,13714,41972,159764
2022,2,Salta,114,1530,33732,72661,6012,1156,81478,203177
2022,2,San Juan,24,2027,30385,11276,24649,3728,16701,100407
2022,2,San Luis,60,306,6840,21217,11052,67438,13,121741
2022,2,Santa Cruz,52,6841,12348,11369,11885,2454,3592,49185
2022,2,Santa Fe,468,11757,138534,204381,74133,58114,373888,878859
2022,2,Santiago Del Estero,178,1401,29581,59931,14606,883,10672,118044
2022,2,Tierra Del Fuego,22,831,12052,14828,19968,1712,1006,53770
2022,2,Tucumán,39,2195,34461,43513,23634,4863,145541,254527
2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,4555424
2022,1,Capital Federal,527,5575,39918,77390,61053,43289,1188072,1417541
2022,1,Catamarca,71,456,4386,7009,8773,3761,35715,62378
2022,1,Chaco,461,1099,16888,21235,20898,13012,62946,144119
2022,1,Chubut,113,1677,61369,31856,33080,13871,14055,171628
2022,1,Córdoba,100,12782,165922,126009,73967,34892,577027,1003803
2022,1,Corrientes,67,4029,24563,25665,27077,10452,43631,142578
2022,1,Entre Ríos,107,5745,50075,49620,42294,21578,81757,267926
2022,1,Formosa,97,448,24113,6945,6613,716,15028,54548
2022,1,Jujuy,58,1761,22141,16321,37923,576,35287,116509
2022,1,La Pampa,301,2223,62812,9869,12044,5250,14400,109732
2022,1,La Rioja,18,778,3576,4692,23624,5645,45970,84303
2022,1,Mendoza,114,3355,51230,26407,74178,21566,95048,275185
2022,1,Misiones,51,3873,35655,22261,26855,15854,58610,171508
2022,1,Neuquén,137,1123,39856,15623,11163,2654,71238,149679
2022,1,Río Negro,116,1383,35565,18859,26926,14144,37729,157374
2022,1,Salta,114,1725,35576,68246,6313,2214,76838,197515
2022,1,San Juan,26,2269,32356,11914,25144,2088,11916,88178
2022,1,San Luis,61,643,8287,3837,9802,68612,13,119844
2022,1,Santa Cruz,51,6898,12710,11502,12277,2628,2551,49102
2022,1,Santa Fe,468,12435,143796,208361,84787,58018,344170,870479
2022,1,Santiago Del Estero,178,1401,30220,61170,13542,849,8309,116461
2022,1,Tierra Del Fuego,24,894,12849,15640,18034,1767,982,52611
2022,1,Tucumán,39,2212,36028,46961,21014,5211,133846,245584
2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,4509157
2021,4,Capital Federal,563,1695,47133,81899,66135,66755,1147939,1412119
2021,4,Catamarca,71,0,6038,7855,9804,3262,29827,59090
2021,4,Chaco,461,112,18845,22678,21937,13692,58435,143745
2021,4,Chubut,126,1294,63698,39568,31175,5780,2904,160308
2021,4,Córdoba,100,2479,184548,130892,76246,41198,538700,986770
2021,4,Corrientes,67,645,28830,26368,22922,10087,39911,135912
2021,4,Entre Ríos,107,3024,56043,49636,38295,24068,77290,265046
2021,4,Formosa,84,0,22908,6983,6811,1135,13775,53663
2021,4,Jujuy,58,175,22446,16793,38134,564,33421,113915
2021,4,La Pampa,301,493,64840,9082,12259,4821,12184,107007
2021,4,La Rioja,18,1,5018,5437,23559,5671,43424,83128
2021,4,Mendoza,156,1463,66428,30308,75214,18621,75031,267587
2021,4,Misiones,51,5,41916,23554,26721,15954,54596,171132
2021,4,Neuquén,140,940,42313,13264,10515,3310,69217,147466
2021,4,Río Negro,156,1174,38373,19878,31255,4130,36142,153753
2021,4,Salta,114,20,40673,69324,6642,3535,72622,199405
2021,4,San Juan,44,1442,28906,10955,23978,398,9800,79958
2021,4,San Luis,62,264,8550,4276,9107,67363,9,118849
2021,4,Santa Cruz,52,297,20305,11641,13054,1770,876,48486
2021,4,Santa Fe,467,581,169706,206856,85690,62349,322015,866441
2021,4,Santiago Del Estero,178,909,31915,61524,12205,800,7537,115861
2021,4,Tierra Del Fuego,26,385,13505,16534,16562,1748,1017,52357
2021,4,Tucumán,39,97,37321,48736,21023,5326,125857,238639
2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,4251609
2021,3,Capital Federal,295,603,156978,67013,39785,73502,1075229,1413405
2021,3,Catamarca,71,0,6755,8428,10517,1659,26618,56254
2021,3,Chaco,301,112,22545,20986,23852,14412,49705,139871
2021,3,Chubut,104,105,89168,26281,18538,5320,1643,156066
2021,3,Córdoba,99,2452,204989,141285,65050,47198,476459,946788
2021,3,Corrientes,67,645,29629,28478,24792,9687,35468,133819
2021,3,Entre Ríos,107,3024,61354,59776,39114,16284,67961,260375
2021,3,Formosa,381,0,22778,7142,6978,1192,12707,52795
2021,3,Jujuy,48,175,23884,16417,37755,561,29917,111158
2021,3,La Pampa,298,313,65063,7395,8737,4023,10506,100487
2021,3,La Rioja,18,1,5366,5979,23315,4868,42613,82160
2021,3,Mendoza,36,31,151871,12640,62628,7596,21087,255939
2021,3,Misiones,51,5,41932,25099,26079,14792,42291,158528
2021,3,Neuquén,112,327,57441,8566,6234,3631,57919,139809
2021,3,Río Negro,125,557,68991,3730,14880,2282,34011,144585
2021,3,Salta,101,20,41431,70104,6962,3878,67010,195833
2021,3,San Juan,18,333,59873,752,13250,338,278,79483
2021,3,San Luis,60,0,11552,2405,6491,67942,22,117864
2021,3,Santa Cruz,50,0,30561,8365,6799,1788,678,48976
2021,3,Santa Fe,467,579,193207,201250,83941,55080,290793,841584
2021,3,Santiago Del Estero,123,909,32752,61838,11274,801,6863,115458
2021,3,Tierra Del Fuego,17,0,23723,13397,9782,1433,976,50223
2021,3,Tucumán,32,97,39446,50293,21986,5300,115154,232472
2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,4132351
2021,2,Capital Federal,294,603,157558,73568,43859,86655,1037752,1400355
2021,2,Catamarca,71,0,7219,9091,6828,4941,25388,55744
2021,2,Chaco,301,112,23444,21574,24032,16069,47239,140729
2021,2,Chubut,104,105,89639,22605,16604,3896,1112,139237
2021,2,Córdoba,99,2452,201757,136516,66950,70824,442357,930880
2021,2,Corrientes,67,645,29419,27037,24524,10059,32697,129501
2021,2,Entre Ríos,107,3024,63518,55349,39468,18484,61605,257632
2021,2,Formosa,381,0,22364,7310,7460,1341,11077,51551
2021,2,Jujuy,48,175,24182,16577,37908,607,29950,111848
2021,2,La Pampa,298,554,64146,7769,8128,3399,9311,97667
2021,2,La Rioja,18,1,5312,5971,23298,4825,42158,81602
2021,2,Mendoza,36,31,137462,10886,56117,4403,20686,229671
2021,2,Misiones,51,5,41643,25907,25811,16172,38308,156176
2021,2,Neuquén,112,327,57713,8631,5871,5943,54008,138250
2021,2,Río Negro,125,557,69356,3663,15019,3867,31488,144084
2021,2,Salta,101,20,42543,67012,7099,9654,58882,191639
2021,2,San Juan,18,333,59989,784,12550,340,278,78933
2021,2,San Luis,60,0,11752,2703,5418,65946,22,122818
2021,2,Santa Cruz,50,0,30595,8463,6888,1575,676,48982
2021,2,Santa Fe,467,896,202018,204077,80452,75195,262124,840600
2021,2,Santiago Del Estero,123,909,32034,62224,10359,811,6064,114090
2021,2,Tierra Del Fuego,17,0,21335,6913,4580,476,889,35693
2021,2,Tucumán,32,97,40224,51648,23732,5022,109616,233051
2021,1,Buenos Aires,36939,31187,1108368,240520,163747,222061,2246313,4060002
2021,1,Capital Federal,135,244,159662,76753,56457,83255,1003041,1379673
2021,1,Catamarca,71,0,7423,8455,10115,712,22996,51968
2021,1,Chaco,301,112,24357,22102,27556,14496,42462,139770
2021,1,Chubut,106,109,86986,21401,15392,2844,1112,132340
2021,1,Córdoba,93,2386,211799,135092,74659,71984,402191,910881
2021,1,Corrientes,67,527,31544,26223,26169,9001,27641,126625
2021,1,Entre Ríos,105,2911,67255,56060,42432,15774,54600,251963
2021,1,Formosa,56,0,22409,7569,7916,1215,9579,50686
2021,1,Jujuy,49,175,23735,17293,40649,568,25609,110456
2021,1,La Pampa,298,554,68200,7864,7611,2786,7368,97105
2021,1,La Rioja,18,1,36749,5968,4604,215,5074,52628
2021,1,Mendoza,28,40,134386,11216,52533,4061,16615,218923
2021,1,Misiones,51,524,40949,25503,27101,14050,32953,149387
2021,1,Neuquén,116,327,56171,8443,5903,5677,50840,133235
2021,1,Río Negro,125,466,70011,4187,13045,3642,29589,141168
2021,1,Salta,109,20,40785,68149,9164,8139,54889,187574
2021,1,San Juan,25,194,60439,858,11494,340,276,78267
2021,1,San Luis,58,0,11889,2926,4429,62913,22,119154
2021,1,Santa Cruz,50,0,30655,8334,6987,1337,647,46065
2021,1,Santa Fe,518,891,201632,204458,91846,65476,236924,826127
2021,1,Santiago Del Estero,123,909,33884,58464,8549,700,4868,111641
2021,1,Tierra Del Fuego,17,0,21379,1468,4317,486,919,40422
2021,1,Tucumán,29,97,42810,53416,25255,4188,103437,231912
