Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2022,4,Buenos Aires,28934,23347,163636,622335,1289104,441360,99071,2667787
2022,4,Capital Federal,516,5096,20243,112066,138065,105173,28414,409573
2022,4,Catamarca,71,315,1165,11217,33510,0,0,46278
2022,4,Chaco,461,685,8829,31763,30607,0,0,72345
2022,4,Chubut,109,1614,30726,81466,34267,0,0,148182
2022,4,Córdoba,99,9929,70144,244856,223551,4960,54,553593
2022,4,Corrientes,67,3282,13343,41187,29622,0,0,87501
2022,4,Entre Ríos,107,4722,23998,89258,56534,51,0,174670
2022,4,Formosa,84,245,17026,24547,1294,0,0,43196
2022,4,Jujuy,58,1763,14075,55077,35914,0,0,106887
2022,4,La Pampa,68,1687,18848,53271,21029,0,18,94921
2022,4,La Rioja,18,595,908,29068,40365,0,0,70954
2022,4,Mendoza,103,2954,21853,69978,151872,3,2,246765
2022,4,Misiones,51,3510,23778,45413,30288,19,553,103612
2022,4,Neuquén,168,994,29668,36114,28899,12,1027,96882
2022,4,Río Negro,111,1081,21961,44465,17957,184,9292,95051
2022,4,Salta,114,1197,21451,86219,28371,0,0,137352
2022,4,San Juan,24,2027,27320,34436,27762,1,0,91570
2022,4,San Luis,60,624,5008,45442,79016,0,0,130150
2022,4,Santa Cruz,51,6810,9308,24191,8419,0,166,48945
2022,4,Santa Fe,468,9374,70703,312829,152881,303,1859,548417
2022,4,Santiago Del Estero,178,1267,12681,89373,1632,0,0,105131
2022,4,Tierra Del Fuego,22,902,6617,40031,4956,48,0,52576
2022,4,Tucumán,39,1562,11557,80233,60822,2,0,154215
2022,3,Buenos Aires,28934,23347,163636,622335,1289104,441360,99071,2667787
2022,3,Capital Federal,516,5096,20243,112066,138065,105173,28414,409573
