Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2014,1,Buenos Aires,3.73,0.0
2014,1,Capital Federal,4.02,0.0
2014,1,Catamarca,2.8,0.0
2014,1,Chaco,3.26,0.0
2014,1,Chubut,3.18,0.0
2014,1,Córdoba,3.39,0.0
2014,1,Corrientes,3.22,0.0
2014,1,Entre Ríos,3.17,0.0
2014,1,Formosa,2.57,0.0
2014,1,Jujuy,2.69,0.0
2014,1,La Pampa,2.65,0.0
2014,1,La Rioja,2.96,0.0
2014,1,Mendoza,3.5,0.0
2014,1,Misiones,3.4,0.0
2014,1,Neuquén,3.55,0.0
2014,1,Río Negro,3.35,0.0
2014,1,Salta,3.3,0.0
2014,1,San Juan,3.47,0.0
2014,1,San Luis,3.5,0.0
2014,1,Santa Cruz,3.32,0.0
2014,1,Santa Fe,3.15,0.0
2014,1,Santiago Del Estero,2.95,0.0
2014,1,Tierra Del Fuego,3.45,0.0
2014,1,Tucumán,3.21,0.0
2014,2,Buenos Aires,3.85,1.03
2014,2,Capital Federal,4.25,1.06
2014,2,Catamarca,2.92,1.04
2014,2,Chaco,3.42,1.05
2014,2,Chubut,3.16,0.99
2014,2,Córdoba,3.56,1.05
2014,2,Corrientes,3.37,1.05
2014,2,Entre Ríos,3.31,1.04
2014,2,Formosa,2.65,1.03
2014,2,Jujuy,2.77,1.03
2014,2,La Pampa,2.68,1.01
2014,2,La Rioja,3.1,1.05
2014,2,Mendoza,3.5,1.0
2014,2,Misiones,3.54,1.04
2014,2,Neuquén,3.66,1.03
2014,2,Río Negro,3.43,1.02
2014,2,Salta,3.39,1.03
2014,2,San Juan,3.47,1.0
2014,2,San Luis,3.5,1.0
2014,2,Santa Cruz,3.32,1.0
2014,2,Santa Fe,3.31,1.05
2014,2,Santiago Del Estero,3.07,1.04
2014,2,Tierra Del Fuego,3.47,1.01
2014,2,Tucumán,3.35,1.04
2014,3,Buenos Aires,3.97,1.03
2014,3,Capital Federal,4.44,1.04
2014,3,Catamarca,2.92,1.0
2014,3,Chaco,3.46,1.01
2014,3,Chubut,3.17,1.0
2014,3,Córdoba,3.66,1.03
2014,3,Corrientes,3.41,1.01
2014,3,Entre Ríos,3.4,1.03
2014,3,Formosa,2.66,1.0
2014,3,Jujuy,2.93,1.06
2014,3,La Pampa,2.82,1.05
2014,3,La Rioja,3.1,1.0
2014,3,Mendoza,3.5,1.0
2014,3,Misiones,3.58,1.01
2014,3,Neuquén,3.74,1.02
2014,3,Río Negro,3.48,1.01
2014,3,Salta,3.41,1.01
2014,3,San Juan,3.47,1.0
2014,3,San Luis,3.5,1.0
2014,3,Santa Cruz,3.31,1.0
2014,3,Santa Fe,3.38,1.02
2014,3,Santiago Del Estero,3.1,1.01
2014,3,Tierra Del Fuego,3.47,1.0
2014,3,Tucumán,3.35,1.0
2014,4,Buenos Aires,4.2,1.06
2014,4,Capital Federal,4.78,1.08
2014,4,Catamarca,3.34,1.14
2014,4,Chaco,3.98,1.15
2014,4,Chubut,3.17,1.0
2014,4,Córdoba,4.09,1.12
2014,4,Corrientes,3.81,1.12
2014,4,Entre Ríos,3.8,1.12
2014,4,Formosa,3.02,1.14
2014,4,Jujuy,3.13,1.07
2014,4,La Pampa,2.75,0.98
2014,4,La Rioja,3.58,1.15
2014,4,Mendoza,3.5,1.0
2014,4,Misiones,4.03,1.13
2014,4,Neuquén,3.85,1.03
2014,4,Río Negro,3.54,1.02
2014,4,Salta,3.86,1.13
2014,4,San Juan,3.48,1.0
2014,4,San Luis,3.5,1.0
2014,4,Santa Cruz,3.33,1.01
2014,4,Santa Fe,3.78,1.12
2014,4,Santiago Del Estero,3.46,1.12
