Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,1,0,0,0,0,0,1,1,1,6588010.0,-35.2929819536873,-61.4072542128
BUENOS AIRES,9 de Julio,Carlos María Naón,497,0,0,0,0,0,0,1,1,1,6588020.0,-35.239499381663,-60.8251358750153
BUENOS AIRES,9 de Julio,Dudignac,2670,0,0,1,0,0,1,1,1,1,6588040.0,-35.6511928511123,-60.7098962799094
BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),531,0,0,0,0,0,0,0,0,1,6588050.0,-35.4079467934432,-61.2105668204871
BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),748,1,0,0,1,0,0,1,1,1,6588060.0,-35.5201414507378,-60.9989487976537
BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),76,0,0,0,0,0,0,1,0,1,6588070.0,-35.3462662593318,-60.7453446826815
BUENOS AIRES,9 de Julio,Morea,347,0,0,0,0,0,1,1,0,0,6588080.0,-35.5563880098445,-60.5605940553161
BUENOS AIRES,9 de Julio,Norumbega,57,0,0,0,0,0,0,1,0,0,6588090.0,-35.5357392707567,-60.7928143632315
BUENOS AIRES,9 de Julio,Patricios,745,1,0,0,0,0,1,1,1,0,6588110.0,-35.4395526972374,-60.7174384712323
BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),566,0,0,0,1,0,1,1,1,1,6588120.0,-35.4989239490928,-60.8647207106461
BUENOS AIRES,Adolfo Alsina,Carhué,9660,1,0,1,1,0,1,1,1,1,6007010.0,-37.1774801030509,-62.7578962604015
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,563,0,0,0,1,0,0,1,0,1,6007020.0,-37.4486186469627,-63.117609405389
BUENOS AIRES,Adolfo Alsina,Delfín Huergo,14,0,0,0,0,0,0,0,0,0,6007030.0,-37.3173292631958,-63.2331690622102
BUENOS AIRES,Adolfo Alsina,Espartillar,21,0,0,0,0,0,0,0,0,1,6007040.0,-37.3563345638716,-62.4387637810214
BUENOS AIRES,Azul,Ariel,16,0,0,0,0,0,0,0,0,1,6049010.0,-36.5312544192466,-59.9200651844348
BUENOS AIRES,Azul,Azul,55728,1,1,1,1,1,1,1,1,1,6049020.0,-36.7795144970313,-59.8586331707414
BUENOS AIRES,Azul,Cacharí,2960,0,0,1,0,0,1,1,1,1,6049030.0,-36.3805626332947,-59.5030645507265
BUENOS AIRES,Azul,Chillar,3083,0,0,0,0,1,1,1,1,1,6049040.0,-37.3150113247344,-59.9853181679139
BUENOS AIRES,Bahía Blanca,Bahía Blanca,291327,1,1,1,1,1,1,1,1,1,6056010.0,-38.7114037284555,-62.2569089501864
BUENOS AIRES,Bahía Blanca,Cabildo,2046,0,1,1,1,0,1,1,1,1,6056020.0,-38.4838572081944,-61.8926015349487
BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),6745,1,1,1,1,0,1,1,1,1,6056030.0,-38.7136524854986,-62.3924221653991
BUENOS AIRES,Bahía Blanca,Grunbein,0,0,0,0,0,0,0,0,1,1,6056020.0,-38.7471079502848,-62.1891166907456
BUENOS AIRES,Bahía Blanca,Ingeniero White,0,0,0,0,1,1,0,0,1,1,6056020.0,-38.7794670416666,-62.262951248824
BUENOS AIRES,General Pueyrredón,Chapadmalal,4112,1,0,0,1,1,1,1,1,1,6357080.0,-38.1757779275595,-57.6513390003209
BUENOS AIRES,General Pueyrredón,El Marquesado,196,0,0,0,0,0,1,1,0,0,6357090.0,-38.2369312519788,-57.763418077922
BUENOS AIRES,General Pueyrredón,Estacion Camet,0,0,0,0,0,0,0,0,1,1,6357090.0,-37.888665236683,-57.6000121501773
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,1633,1,0,0,1,0,1,0,1,1,6357100.0,-38.036727731373,-57.7129897398616
BUENOS AIRES,General Pueyrredón,Mar del Plata,560913,1,1,1,1,1,1,1,1,1,6357110.0,-38.0120914785136,-57.6064947153173
BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,0,0,0,0,0,0,0,1,1,6351020.0,-38.0833774287933,-57.5859350936487
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,4249,1,0,0,1,0,1,1,1,1,6357120.0,-37.954166706805,-57.7715971022228
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,0,0,0,1,0,0,0,1,1,6364030.0,-34.6882159472973,-58.9574297137089
BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,0,0,0,0,0,0,0,0,1,1,6364030.0,-34.555,-58.935
BUENOS AIRES,Pellegrini,Pellegrini,5115,1,1,1,0,1,1,1,1,1,6616030.0,-36.2697352282386,-63.1652861097017
BUENOS AIRES,Pergamino,Acevedo,1499,1,1,0,0,0,1,1,1,1,6623010.0,-33.755665348987,-60.4408373865386
BUENOS AIRES,Pergamino,Fontezuela,365,1,0,0,1,0,1,1,0,0,6623020.0,-33.9138392371386,-60.4628650932084
BUENOS AIRES,Pergamino,Guerrico,774,0,1,0,0,1,1,0,1,1,6623030.0,-33.6745849638169,-60.4006865938611
BUENOS AIRES,Pergamino,Juan A. de la Peña,211,0,0,0,0,0,1,0,0,0,6623040.0,-33.8322767381074,-60.4864895356947
BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),976,1,0,0,1,0,1,1,1,1,6623050.0,-33.9263378592898,-60.3829034809436
BUENOS AIRES,Pergamino,La Violeta,1041,1,0,0,0,0,0,1,1,1,6623060.0,-33.7347851403163,-60.1701773086428
BUENOS AIRES,Pergamino,Manuel Ocampo,1078,0,0,0,1,0,1,1,1,1,6623070.0,-33.7647232673599,-60.6492429333859
BUENOS AIRES,Pergamino,Mariano Benítez,168,0,0,0,0,0,0,1,0,0,6623080.0,-33.7090270411103,-60.5842599045876
BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),993,0,0,0,0,1,0,0,1,1,6623090.0,-33.9149979004605,-60.8383550657724
BUENOS AIRES,Pergamino,Pergamino,91399,1,1,1,1,1,1,1,1,1,6623100.0,-33.8949900563191,-60.5716400794952
BUENOS AIRES,Pergamino,Pinzón,393,0,0,0,0,0,1,0,0,0,6623110.0,-33.9947211174052,-60.7316480040989
MENDOZA,Lavalle,El Paramillo,90,0,0,0,0,0,0,0,0,0,50056090.0,-32.7813088245414,-68.5336830930131
CABA,COMUNA 12,VILLA PUEYRREDON,39654,1,1,1,1,1,1,1,1,1,2000010.0,-34.5821104495703,-58.5034848793052
CATAMARCA,Ambato,Los Varela,443,0,0,0,0,1,0,0,0,1,10007110.0,-27.9279942328057,-65.8822302327591
CATAMARCA,Ambato,Singuil,295,0,0,0,0,0,0,0,0,1,10007120.0,-27.8142168571341,-65.8670660017181
CATAMARCA,Ancasti,Ancasti,361,0,0,0,0,1,0,1,0,1,10014010.0,-28.809829766706,-65.5021019996524
CATAMARCA,Ancasti,Anquincila,202,0,0,0,0,0,0,0,0,0,10014020.0,-28.7545936474404,-65.5495102803337
CATAMARCA,Ancasti,La Candelaria,77,0,0,0,0,0,0,0,0,0,10014030.0,-28.7207622901373,-65.4106917370235
CATAMARCA,Ancasti,La Majada,154,0,0,0,0,0,0,0,0,0,10014040.0,-29.0295107636719,-65.5499567687055
CATAMARCA,Andalgalá,Aconquija,0,0,0,0,0,1,0,0,1,1,10021010.0,-27.4743798884533,-66.0266884349829
CATAMARCA,Andalgalá,Alto De Las Juntas,0,0,0,0,0,0,0,0,0,0,10021010.0,-27.4511959792163,-66.0199688270559
CATAMARCA,Andalgalá,Amanao,29,0,0,0,0,0,0,1,1,0,10021010.0,-27.5275895579827,-66.5156761677031
CATAMARCA,Andalgalá,Andalgalá,12600,1,0,0,1,1,1,1,1,1,10021020.0,-27.5732225954972,-66.3235466394645
CATAMARCA,Andalgalá,Buena Vista,0,0,0,0,0,0,0,0,0,0,10021010.0,-27.3391922396844,-66.0241892155379
CATAMARCA,Andalgalá,Chaquiago,1096,0,0,0,1,1,1,0,0,0,10021030.0,-27.5368955481985,-66.3350568927423
CATAMARCA,Andalgalá,Choya,403,0,0,0,0,0,0,0,0,0,10021040.0,-27.5210749343604,-66.4034742805443
CATAMARCA,Andalgalá,El Alamito,734,0,0,0,0,0,1,0,0,0,10021050.0,-27.333537875981,-66.022985174122
CATAMARCA,Andalgalá,El Lindero,741,0,0,0,0,0,0,1,0,0,10021060.0,-27.4743798884533,-66.0266884349829
CATAMARCA,Andalgalá,El Potrero,184,0,0,0,1,0,0,1,0,0,10021070.0,-27.5162322380357,-66.3434280762552
CATAMARCA,Andalgalá,La Aguada,378,0,0,0,1,0,1,0,0,0,10021080.0,-27.534089032104,-66.3117750484602
CATAMARCA,Andalgalá,La Mesada,0,0,0,0,1,0,0,0,0,0,10021010.0,-27.4511959792163,-66.0199688270559
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,730,0,0,0,0,1,0,1,0,1,10028010.0,-26.0632957365737,-67.4116706391736
CATAMARCA,Antofagasta de la Sierra,Antofalla,45,0,0,0,0,0,0,0,0,0,10028020.0,-25.5201549530029,-67.6220474243164
CATAMARCA,Antofagasta de la Sierra,El Peñón,263,0,0,0,0,0,0,1,0,0,10028030.0,-26.4377795455164,-67.2590953594946
CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,43,0,0,0,0,0,0,0,0,0,10028040.0,-25.7592665755338,-67.3912671398198
CATAMARCA,Belén,Barranca Larga,330,0,0,0,0,0,0,1,0,0,10035010.0,-26.9366725902001,-66.7473736733687
CATAMARCA,Belén,Belén,12256,0,0,0,0,1,1,1,1,1,10035020.0,-27.6337582271366,-67.0181224346383
CATAMARCA,Belén,Cóndor Huasi,254,0,0,0,0,0,0,0,0,0,10035030.0,-27.4800253698881,-67.1034365555174
CATAMARCA,Belén,Corral Quemado,1204,0,0,0,0,0,0,1,0,0,10035040.0,-27.1458266170631,-66.9418772140389
CATAMARCA,Belén,El Durazno,378,0,0,0,0,1,0,0,0,0,10035050.0,-27.2352160693093,-67.0644302349354
CATAMARCA,Belén,Farallón Negro,1463,0,0,0,0,0,0,1,0,1,10035060.0,-27.297991160481,-66.6526535881206
CATAMARCA,Belén,Hualfín,987,0,0,0,0,1,0,1,0,1,10035070.0,-27.2251089488391,-66.8257494663378
CATAMARCA,Belén,Jacipunco,361,0,0,0,0,0,0,1,0,0,10035080.0,-27.2232502935304,-67.0189560597067
CORDOBA,San Javier,Villa de las Rosas,3103,0,0,0,0,0,1,0,1,1,14133190.0,-31.9484733205417,-65.0550181621034
CORDOBA,San Javier,Villa Dolores,29854,1,1,0,1,0,1,1,1,1,14133200.0,-31.9440434116077,-65.1961395608591
CORDOBA,San Javier,Villa La Viña,34,0,0,0,0,0,1,0,0,0,14133210.0,-31.8727711509831,-65.0372746344972
CORDOBA,San Justo,Alicia,3305,0,1,0,1,1,0,1,1,1,14140010.0,-31.9387491680744,-62.4657945680095
CORDOBA,San Justo,Altos de Chipión,1718,0,0,0,1,1,0,1,1,1,14140020.0,-30.9563507625723,-62.3378881220879
CORDOBA,San Justo,Arroyito,22147,1,1,0,1,1,1,1,1,1,14140030.0,-31.4193908735633,-63.0503444103203
CORDOBA,San Justo,Balnearia,6105,0,0,0,0,0,0,1,1,1,14140040.0,-31.0107075696975,-62.6671044005114
CORDOBA,San Justo,Brinkmann,9890,1,0,0,1,0,0,1,1,1,14140050.0,-30.8665250177702,-62.0356522438995
CORDOBA,San Justo,Colonia 10 de Julio,73,0,0,0,0,0,0,0,0,0,14140070.0,-30.5273759974763,-62.114218229406
CORDOBA,San Justo,Colonia Anita,8,0,0,0,0,0,1,0,0,0,14140060.0,-31.1438629464364,-62.2135862922774
CORDOBA,San Justo,Colonia Iturraspe,6,0,0,0,0,0,0,0,0,0,14140215.0,-31.2071433242951,-62.1099182033011
CORDOBA,San Justo,Colonia Las Pichanas,117,0,0,0,0,0,1,0,0,0,14140080.0,-31.2454066292387,-62.9256664887207
ENTRE RIOS,Uruguay,Caseros,1948,1,0,0,1,0,1,1,1,1,30098020.0,-32.4642772562474,-58.4780718727049
ENTRE RIOS,Uruguay,Colonia Elía,741,0,0,0,1,0,1,1,0,1,30098030.0,-32.6723717845853,-58.325119237234
ENTRE RIOS,Uruguay,Concepción del Uruguay,72528,1,1,1,1,0,1,1,1,1,30098040.0,-32.4853601673728,-58.2320517380782
ENTRE RIOS,Uruguay,Estancia San Pedro,0,0,0,0,0,0,1,0,0,0,30098030.0,-32.2669,-58.6294
ENTRE RIOS,Uruguay,Herrera,1251,1,0,0,0,0,1,1,0,1,30098060.0,-32.434613979879,-58.6330137118779
ENTRE RIOS,Uruguay,Las Moscas,383,0,0,0,1,0,1,1,0,1,30098070.0,-32.0926666859344,-58.9575923552082
ENTRE RIOS,Uruguay,Líbaros,230,0,0,0,0,0,1,1,0,0,30098080.0,-32.2629479332194,-58.9066108120783
ENTRE RIOS,Uruguay,Pronunciamiento,976,0,0,0,0,0,1,1,1,1,30098100.0,-32.3456507831337,-58.4438591145895
ENTRE RIOS,Uruguay,Rocamora,281,0,0,0,0,0,1,1,0,0,30098110.0,-32.3459729612346,-58.9697454142681
ENTRE RIOS,Uruguay,Santa Anita,1187,0,0,0,1,0,1,1,0,1,30098120.0,-32.1762466320214,-58.7864822456477
ENTRE RIOS,Uruguay,Villa Mantero,1427,1,0,0,1,1,1,1,1,1,30098130.0,-32.3987091260597,-58.7440638984338
ENTRE RIOS,Uruguay,Villa San Justo,1337,0,0,0,1,0,1,1,1,1,30098140.0,-32.446319897702,-58.4359138343848
ENTRE RIOS,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),639,0,0,0,0,0,1,1,1,1,30098150.0,-32.1800624013874,-58.9301272035017
ENTRE RIOS,Victoria,Antelo,211,0,0,0,0,0,0,0,0,0,30105010.0,-32.5338102554011,-60.0356966118049
