Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,4,Buenos Aires,326,3,1,130,72,5
2022,4,Capital Federal,139,1,139,5,32,2
2022,4,Catamarca,9,11,47,1,2,71
2022,4,Chaco,25,61,47,8,3,144
2022,4,Chubut,45,74,10,31,9,169
2022,4,Córdoba,152,457,367,62,11,1
2022,4,Corrientes,34,80,27,9,5,155
2022,4,Entre Ríos,56,136,41,26,13,271
2022,4,Formosa,14,17,13,18,227,62
2022,4,Jujuy,18,52,43,4,1,118
2022,4,La Pampa,8,61,25,20,1,114
2022,4,La Rioja,6,54,19,6,32,86
2022,4,Mendoza,38,78,147,28,2,292
2022,4,Misiones,33,87,47,11,8,186
2022,4,Neuquén,29,73,32,24,4,160
2022,4,Río Negro,34,48,44,16,19,162
2022,4,Salta,37,97,53,12,7,206
2022,4,San Juan,39,23,12,22,8,104
2022,4,San Luis,6,43,3,82,511,135
2022,4,Santa Cruz,10,24,12,4,662,50
2022,4,Santa Fe,164,412,249,44,19,888
2022,4,Santiago Del Estero,14,81,15,7,3,119
2022,4,Tierra Del Fuego,13,41,405,157,651,55
2022,4,Tucumán,69,21,169,4,527,263
2022,3,Buenos Aires,340,3,1,127,70,5
2022,3,Capital Federal,141,1,129,6,32,2
2022,3,Catamarca,10,10,46,1,2,70
2022,3,Chaco,27,62,45,8,2,144
2022,3,Chubut,45,72,10,30,9,166
2022,3,Córdoba,164,465,339,61,10,1
2022,3,Corrientes,37,77,19,7,5,145
2022,3,Entre Ríos,60,133,37,26,13,269
2022,3,Formosa,14,26,11,17,212,69
2022,3,Jujuy,19,53,40,4,2,119
2022,3,La Pampa,8,60,24,20,4,116
2022,3,La Rioja,7,54,20,6,31,87
2022,3,Mendoza,38,79,143,28,3,290
2022,3,Misiones,36,89,39,11,8,182
2022,3,Neuquén,29,76,29,27,1,163
2022,3,Río Negro,36,48,41,17,19,161
2022,3,Salta,40,97,50,10,7,205
2022,3,San Juan,39,23,12,22,8,103
2022,3,San Luis,7,29,248,71,15,122
2022,3,Santa Cruz,10,24,11,4,582,50
2022,3,Santa Fe,184,426,215,43,20,888
2022,3,Santiago Del Estero,15,81,13,7,3,119
2022,3,Tierra Del Fuego,13,40,403,125,651,54
2022,3,Tucumán,78,19,162,4,519,263
2022,2,Buenos Aires,351,3,1,127,71,5
2022,2,Capital Federal,145,1,122,6,32,2
2022,2,Catamarca,12,9,42,1,2,67
2022,2,Chaco,30,61,42,8,2,144
2022,2,Chubut,45,69,10,30,9,163
2022,2,Córdoba,179,468,309,61,10,1
2022,2,Corrientes,38,76,18,7,5,145
2022,2,Entre Ríos,64,131,36,26,13,269
2022,2,Formosa,15,25,10,17,212,68
2022,2,Jujuy,20,54,34,4,2,115
2022,2,La Pampa,8,59,23,20,1,112
2022,2,La Rioja,8,53,19,6,31,86
2022,2,Mendoza,38,78,136,27,2,280
2022,2,Misiones,37,89,34,11,8,179
2022,2,Neuquén,30,75,29,27,1,162
2022,2,Río Negro,36,47,41,17,19,160
2022,2,Salta,43,96,47,10,7,203
2022,2,San Juan,39,20,12,22,8,100
2022,2,San Luis,7,29,248,71,15,122
2022,2,Santa Cruz,10,24,11,4,579,49
2022,2,Santa Fe,198,428,190,43,20,879
2022,2,Santiago Del Estero,17,80,12,7,3,118
2022,2,Tierra Del Fuego,13,40,403,125,651,54
2022,2,Tucumán,86,15,149,4,487,255
2022,1,Buenos Aires,392,3,1,126,67,5
2022,1,Capital Federal,102,1,62,6,30,1
2022,1,Catamarca,14,16,29,1,2,62
2022,1,Chaco,32,65,37,8,2,144
2022,1,Chubut,44,67,9,31,21,172
2022,1,Córdoba,196,502,236,61,10,1
2022,1,Corrientes,40,79,11,7,5,143
2022,1,Entre Ríos,67,139,23,26,13,268
2022,1,Formosa,16,16,5,17,202,55
2022,1,Jujuy,21,61,26,5,4,117
2022,1,La Pampa,8,59,22,20,1,110
2022,1,La Rioja,9,59,10,6,31,84
2022,1,Mendoza,49,74,123,27,1,275
2022,1,Misiones,39,92,25,8,8,172
2022,1,Neuquén,28,73,24,23,745,150
2022,1,Río Negro,39,45,38,17,18,157
2022,1,Salta,45,99,41,6,7,198
2022,1,San Juan,34,14,11,21,8,88
2022,1,San Luis,8,11,31,72,29,120
2022,1,Santa Cruz,11,23,11,4,405,49
2022,1,Santa Fe,213,445,147,45,21,870
2022,1,Santiago Del Estero,18,88,1,6,3,116
2022,1,Tierra Del Fuego,13,39,416,124,340,53
2022,1,Tucumán,93,62,86,4,487,246
2021,4,Buenos Aires,426,3,1,127,73,5
2021,4,Capital Federal,111,1,60,6,30,1
2021,4,Catamarca,16,14,25,2,2,59
2021,4,Chaco,36,63,35,8,2,144
2021,4,Chubut,46,57,10,28,19,160
2021,4,Córdoba,212,487,217,61,9,987
