Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra optica,Wireless,Total Tecnologia,Mbps (Media de bajada),Tasa de crecimiento Velocidad,Accesos por cada 100 hogares,Tasa de Crecimiento Penetracion,Ingresos (miles de pesos),Ingresos (miles USD),Tasa de Crecimiento Ingresos
Buenos Aires,2022,4,6.901593193362265,58.600626739914794,31.74673998255903,2.7510400841639115,4722214,111.0,1.58,78.94,4.335183716627022,72443482.99,568.39,18.604845272624825
Capital Federal,2022,4,9.127886323268205,81.45490428261299,9.114400368396817,0.302809025721992,1520100,182.9,1.81,122.73,10.2992720409814,72443482.99,568.39,18.604845272624825
Catamarca,2022,4,13.037019776891038,16.016660355925787,68.93804794221303,2.0082719249701455,68666,83.3,1.37,65.77,19.04072398190044,72443482.99,568.39,18.604845272624825
Chaco,2022,4,17.42304502831546,43.42294580016869,33.514306572447175,5.639702599068673,141089,104.0,1.95,43.62,-0.97616345062429,72443482.99,568.39,18.604845272624825
Chubut,2022,4,28.422415248672685,46.22816727013489,6.137865911237016,19.21155156995541,159909,15.92,1.02,85.57,3.633280852609899,72443482.99,568.39,18.604845272624825
Córdoba,2022,4,14.665740737173435,44.01186242819551,35.38627055890953,5.936126275721512,1038236,108.75,1.93,89.03,5.3484794698852145,72443482.99,568.39,18.604845272624825
Corrientes,2022,4,22.6685758050015,53.466751023941924,17.816256534913922,6.048416636142653,150155,94.75,2.1,51.64,13.469567128103721,72443482.99,568.39,18.604845272624825
Entre Ríos,2022,4,21.475634998936027,52.520070415723595,15.784729073568954,10.21956551177142,258465,87.5,2.06,64.01,1.3457884737175574,72443482.99,568.39,18.604845272624825
Formosa,2022,4,22.29237336276435,27.701946017885838,21.2909613230974,28.714719296252415,61613,72.0,2.37,39.41,14.397677793904196,72443482.99,568.39,18.604845272624825
Jujuy,2022,4,15.286885596299685,44.79194275112642,36.444003659276866,3.4771679932970256,116963,39.3,1.21,58.46,2.7055516514406186,72443482.99,568.39,18.604845272624825
La Pampa,2022,4,6.895604882283123,53.64665450229411,21.747063721235097,17.710676894187674,112898,19.1,1.06,94.8,5.839008596628337,72443482.99,568.39,18.604845272624825
La Rioja,2022,4,7.097297924156326,63.072016699524525,22.414472921257104,7.416212455062043,86230,61.0,1.38,79.86,2.489733059548249,72443482.99,568.39,18.604845272624825
Mendoza,2022,4,12.977501757675181,26.817987565309696,50.689973669336496,9.514537007678628,290156,38.75,1.13,51.36,8.103557145864038,72443482.99,568.39,18.604845272624825
Misiones,2022,4,18.615655450029713,48.88936232241571,26.285839229449557,6.20914299810502,178366,91.25,1.85,52.85,7.725234406848758,72443482.99,568.39,18.604845272624825
Neuquén,2022,4,18.260675304780747,46.38986404544584,20.148720239994894,15.200740409778515,156670,95.4,1.99,78.67,7.326057298772182,72443482.99,568.39,18.604845272624825
Río Negro,2022,4,23.859853236986524,33.92300198347339,30.80901884650159,11.408125933038498,142679,75.3,2.21,68.42,4.155883696148588,72443482.99,568.39,18.604845272624825
Salta,2022,4,18.53288245800638,48.67797868710992,26.826747476369185,5.9623913785145195,199316,75.94,1.84,57.96,2.0242914979757165,72443482.99,568.39,18.604845272624825
San Juan,2022,4,40.22485034311578,23.89608493419269,13.026927810107836,22.852136912583692,95886,16.39,1.03,50.88,28.517302349078054,72443482.99,568.39,18.604845272624825
San Luis,2022,4,4.664127860796235,32.26213541782658,2.530640120556162,60.54309660082103,134709,30.67,1.59,90.27,12.415940224159394,72443482.99,568.39,18.604845272624825
Santa Cruz,2022,4,19.58377909206516,48.19442481984619,24.66038230960215,7.561413778486506,49541,14.33,1.14,43.53,1.1149825783972167,72443482.99,568.39,18.604845272624825
Santa Fe,2022,4,18.840599735850923,47.4589757141755,28.62090923013326,5.079515319840313,868449,90.3,2.0,78.4,1.6993124918925906,72443482.99,568.39,18.604845272624825
Santiago Del Estero,2022,4,11.648078242964996,69.4535003431709,12.969286204529856,5.929135209334248,116560,34.4,1.94,48.05,2.125398512221044,72443482.99,568.39,18.604845272624825
Tierra Del Fuego,2022,4,23.355124613159003,75.61574099507408,0.741635994066912,0.28749839770001284,54609,13.48,1.22,101.44,3.089430894308931,72443482.99,568.39,18.604845272624825
Tucumán,2022,4,26.413967553586033,7.861693832138306,64.17657239582343,1.5477662184522338,262895,88.3,1.66,61.04,9.136420525657062,72443482.99,568.39,18.604845272624825
Buenos Aires,2022,3,7.3022919420405525,59.08785419495655,30.882717169484692,2.727136693518218,4651252,70.2,1.07,78.11,8.970424107142838,64086784.33,502.82,10.94391244870041
