Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Total,Mbps (Media de bajada),Tasa de Crecimiento
Buenos Aires,2022,4,325908,2767247,1499149,129910,4722214,111.0,1.58
Capital Federal,2022,4,138753,1238196,138548,4603,1520100,182.9,1.81
Catamarca,2022,4,8952,10998,47337,1379,68666,83.3,1.37
Chaco,2022,4,24582,61265,47285,7957,141089,104.0,1.95
Chubut,2022,4,45450,73923,9815,30721,159909,15.92,1.02
Córdoba,2022,4,152265,456947,367393,61631,1038236,108.75,1.93
Corrientes,2022,4,34038,80283,26752,9082,150155,94.75,2.1
Entre Ríos,2022,4,55507,135746,40798,26414,258465,87.5,2.06
Formosa,2022,4,13735,17068,13118,17692,61613,72.0,2.37
Jujuy,2022,4,17880,52390,42626,4067,116963,39.3,1.21
La Pampa,2022,4,7785,60566,24552,19995,112898,19.1,1.06
La Rioja,2022,4,6120,54387,19328,6395,86230,61.0,1.38
Mendoza,2022,4,37655,77814,147080,27607,290156,38.75,1.13
Misiones,2022,4,33204,87202,46885,11075,178366,91.25,1.85
Neuquén,2022,4,28609,72679,31567,23815,156670,95.4,1.99
Río Negro,2022,4,34043,48401,43958,16277,142679,75.3,2.21
Salta,2022,4,36939,97023,53470,11884,199316,75.94,1.84
San Juan,2022,4,38570,22913,12491,21912,95886,16.39,1.03
San Luis,2022,4,6283,43460,3409,81557,134709,30.67,1.59
Santa Cruz,2022,4,9702,23876,12217,3746,49541,14.33,1.14
Santa Fe,2022,4,163621,412157,248558,44113,868449,90.3,2.0
Santiago Del Estero,2022,4,13577,80955,15117,6911,116560,34.4,1.94
Tierra Del Fuego,2022,4,12754,41293,405,157,54609,13.48,1.22
Tucumán,2022,4,69441,20668,168717,4069,262895,88.3,1.66
Buenos Aires,2022,3,339648,2748325,1436433,126846,4651252,70.2,1.07
Capital Federal,2022,3,140791,1240125,129218,5758,1515892,101.06,1.08
Catamarca,2022,3,10010,10495,46224,1329,68058,61.0,1.08
Chaco,2022,3,27164,61800,44645,8178,141787,53.22,1.05
Chubut,2022,3,45377,72212,9574,29784,156947,15.57,1.04
Córdoba,2022,3,163770,465461,338570,61070,1028871,56.3,1.05
Corrientes,2022,3,36508,77140,18619,7256,139523,45.06,1.04
Entre Ríos,2022,3,60345,132952,36971,26098,256366,42.5,1.06
Formosa,2022,3,14470,25880,11041,16935,68326,30.34,1.07
Jujuy,2022,3,19257,52978,40172,4033,116440,32.44,1.1
La Pampa,2022,3,7796,60078,23551,20216,111641,18.1,1.13
La Rioja,2022,3,6842,53899,19697,6395,86833,44.3,1.02
Mendoza,2022,3,37659,78858,142615,27625,286757,34.16,1.15
Misiones,2022,3,35513,88902,39046,11074,174535,49.3,1.07
Neuquén,2022,3,29352,75815,29396,27482,162045,47.8,1.03
Río Negro,2022,3,35552,48260,41017,16760,141589,34.12,1.03
Salta,2022,3,40006,96984,50254,10082,197326,41.34,1.07
San Juan,2022,3,38570,22723,12328,21860,95481,15.84,1.1
San Luis,2022,3,6860,29363,248,70614,107085,19.33,1.0
Santa Cruz,2022,3,10170,24047,10815,3896,48928,12.6,1.07
Santa Fe,2022,3,183740,426255,215189,43079,868263,45.16,1.07
Santiago Del Estero,2022,3,15385,80937,13170,6618,116110,17.69,1.08
Tierra Del Fuego,2022,3,12754,39963,403,125,53245,11.01,1.0
Tucumán,2022,3,77738,18518,162345,3997,262598,53.38,1.07
Buenos Aires,2022,2,350652,2719613,1399043,126847,4596155,65.5,1.05
Capital Federal,2022,2,145491,1232226,121506,5757,1504980,94.0,1.07
Catamarca,2022,2,11928,9430,42087,1329,64774,56.56,1.1
Chaco,2022,2,29552,61284,42194,8178,141208,50.62,1.1
Chubut,2022,2,45377,69242,9574,29784,153977,14.91,1.11
Córdoba,2022,2,179181,467595,308895,61107,1016778,53.5,1.07
Corrientes,2022,2,38468,75769,18181,7256,139674,43.3,1.14
Entre Ríos,2022,2,63794,131029,35839,26098,256760,40.03,1.12
Formosa,2022,2,15397,25487,9875,16910,67669,28.47,0.94
Jujuy,2022,2,20303,54495,34184,3955,112937,29.39,1.06
La Pampa,2022,2,7796,59273,22994,20200,110263,16.06,1.08
La Rioja,2022,2,7759,52656,19189,6395,85999,43.28,1.05
Mendoza,2022,2,37663,77504,135504,26964,277635,29.72,1.13
Misiones,2022,2,37208,89260,33649,11074,171191,46.22,1.1
Neuquén,2022,2,29749,74905,28824,27371,160849,46.53,1.08
Río Negro,2022,2,36050,47040,40946,16760,140796,33.25,1.07
Salta,2022,2,42665,96178,47076,10068,195987,38.78,1.06
San Juan,2022,2,38570,19734,12328,21859,92491,14.44,1.2
San Luis,2022,2,6860,29034,248,70614,106756,19.31,0.92
Santa Cruz,2022,2,10170,23725,10815,3896,48606,11.81,1.08
Santa Fe,2022,2,198492,428233,189503,43081,859309,42.0,1.08
Santiago Del Estero,2022,2,16561,80338,11605,6618,115122,16.34,1.13
Tierra Del Fuego,2022,2,12754,39837,403,125,53119,10.97,1.02
Tucumán,2022,2,85893,15327,148823,3997,254040,50.1,1.06
Buenos Aires,2022,1,392045,2728865,1242121,125521,4488552,62.5,1.04
Capital Federal,2022,1,102290,1217225,62308,5784,1387607,88.25,1.06
Catamarca,2022,1,14181,15517,29118,1328,60144,51.22,1.1
Chaco,2022,1,32391,64546,36662,8164,141763,45.84,1.08
Chubut,2022,1,44133,66667,9184,30592,150576,13.4,1.48
Córdoba,2022,1,195610,501799,235838,60843,994090,49.88,1.08
Corrientes,2022,1,40462,79093,10875,6774,137204,38.12,1.07
Entre Ríos,2022,1,67159,138986,23091,26098,255334,35.6,1.07
Formosa,2022,1,16397,15927,5146,16876,54346,30.28,1.05
Jujuy,2022,1,21307,60616,25949,4662,112534,27.69,1.02
La Pampa,2022,1,8003,58978,21739,19903,108623,14.84,1.07
La Rioja,2022,1,9103,59228,9546,6395,84272,41.38,1.04
Mendoza,2022,1,49464,74145,123228,26969,273806,26.2,1.18
Misiones,2022,1,39147,91752,25178,7807,163884,41.88,1.08
Neuquén,2022,1,28443,73200,24193,23098,148934,43.06,1.07
Río Negro,2022,1,38662,45366,38037,16815,138880,31.1,1.14
Salta,2022,1,44714,98667,40994,5950,190325,36.72,1.08
San Juan,2022,1,34038,14449,11294,20723,80504,11.99,1.09
San Luis,2022,1,7987,11296,31,71809,91123,20.95,1.0
Santa Cruz,2022,1,10537,23420,10766,3974,48697,10.89,1.21
Santa Fe,2022,1,213486,444609,146552,45261,849908,38.88,1.08
Santiago Del Estero,2022,1,18118,87979,1093,6349,113539,14.5,1.05
Tierra Del Fuego,2022,1,13031,38700,416,124,52271,10.73,1.0
Tucumán,2022,1,92532,62396,86174,3995,245097,47.25,1.05
Buenos Aires,2021,4,426325,2706506,1176024,126887,4435742,60.22,1.07
Capital Federal,2021,4,111360,1205128,60005,5679,1382172,82.94,1.07
Catamarca,2021,4,16385,13858,25100,1512,56855,46.38,1.07
Chaco,2021,4,35548,63145,34688,8005,141386,42.34,1.08
Chubut,2021,4,46361,57412,9655,28041,141469,9.08,1.11
Córdoba,2021,4,212011,487489,217214,61277,977991,46.38,1.11
Corrientes,2021,4,42523,71183,10138,6778,130622,35.78,1.11
Entre Ríos,2021,4,70459,133387,23452,25022,252320,33.3,1.13
Formosa,2021,4,17211,15111,5151,16018,53491,28.77,1.08
Jujuy,2021,4,22330,60511,24156,2927,109924,27.14,1.04
La Pampa,2021,4,8175,58000,20192,19286,105653,13.85,1.07
La Rioja,2021,4,10387,56651,9446,6613,83097,39.7,1.02
Mendoza,2021,4,59842,71553,109667,24666,265728,22.23,1.66
Misiones,2021,4,41778,92068,22035,7649,163530,38.9,1.26
Neuquén,2021,4,29175,72761,23253,21531,146720,40.1,1.05
Río Negro,2021,4,42037,44495,32212,16558,135302,27.2,1.07
Salta,2021,4,46972,99808,39555,5882,192217,33.94,1.09
San Juan,2021,4,35868,13102,11072,11423,71465,11.05,1.57
San Luis,2021,4,8472,11064,30,70560,90126,20.9,0.96
Santa Cruz,2021,4,10790,22902,10031,4346,48069,8.99,1.17
Santa Fe,2021,4,233427,444373,128856,43556,850212,36.03,1.09
Santiago Del Estero,2021,4,19032,86563,1088,6256,112939,13.84,1.04
Tierra Del Fuego,2021,4,13317,38148,426,124,52015,10.7,1.12
Tucumán,2021,4,97830,59022,78790,2511,238153,45.16,1.07
Buenos Aires,2021,3,585729,2595485,885613,120228,4187055,56.25,1.07
Capital Federal,2021,3,142902,1192107,42966,6059,1384034,77.7,1.07
Catamarca,2021,3,18413,11709,22331,1568,54021,43.44,1.03
Chaco,2021,3,38258,63659,27583,8018,137518,39.12,1.05
Chubut,2021,3,49269,55794,8946,23376,137385,8.18,1.07
Córdoba,2021,3,229275,477223,167495,57617,931610,41.94,1.06
Corrientes,2021,3,44805,69403,7542,6766,128516,32.16,1.06
Entre Ríos,2021,3,74443,128752,20485,23500,247180,29.6,1.07
